School DBN,boro,NTA,Neighborhood,School Name,School Type,School Level,Regents Exam,Year,Mean Score,Number Scoring Below 65,Percent Scoring Below 65,Number Scoring 65 or Above,Percent Scoring 65 or Above,Number Scoring 80 or Above,Percent Scoring 80 or Above,number_AP_CLASSES,has_ap?,subway,bus,total_students,start_time,end_time,graduation_rate,attendance_rate,college_career_rate,Unbanked 2013,Underbanked 2013,% Poor 2013,% Foreign born 2013, Median income 2013 ,Unemployment 2013, Total Population , Total Number of Households ,Home Broadband Adoption (Percentage of Households),"Home Broadband Adoption by Quartiles (High Connected, Medium High Connected, Medium Low Connected, Low Connected)",Mobile Broadband Adoption (Percentage of Households),"Mobile broadband adoption by Quartiles (High Connected, Medium High Connected, Medium Low Connected, Low Connected)",No Broadband (Percentage of Households),"No Broadand by Quartiles (High, Medium High, Medium Low, Low)",Percentage of Blocks without a Commercial Fiber Provider,Percentage of Blocks without a Commercial Fiber Provider by Quartiles,Total Poles,Reserved Poles,Public Wi-Fi in NYC Count,Number of Free Public Wi-Fi Access Points in a Pedestrian Corridor,Available Free Public Wi-Fi in a Pedestrian Corridor (Y/N),Number of Public Computer Centers with free public Wi-Fi,Number of Public Computer Center Workstations
01M292,M,Lower East Side,Lower East Side,Orchard Collegiate Academy,General Academic,High school,Common Core Algebra,2018,64.5,18,43.9,23,56.1,4,9.8,2,Y,"F to East Broadway; J, M, Z to Delancey St-Essex St","B39, M14A, M14D, M15, M15-SBS, M21, M22, M9, X14, X37, X38",171,8:20pm,3:55pm,0.66,0.87,0.36,0.1,0.19,0.29,0.34,"$40,133.00 ",0.11,"68,838","31,824",0.48,Low Connected,0.68,Low Connected,0.27,High,0,Low,94,2,7,0,FALSE,10,199
01M292,M,Lower East Side,Lower East Side,Orchard Collegiate Academy,General Academic,High school,Common Core English,2018,74.5,5,13.5,32,86.5,16,43.2,2,Y,"F to East Broadway; J, M, Z to Delancey St-Essex St","B39, M14A, M14D, M15, M15-SBS, M21, M22, M9, X14, X37, X38",171,8:20pm,3:55pm,0.66,0.87,0.36,0.1,0.19,0.29,0.34,"$40,133.00 ",0.11,"68,838","31,824",0.48,Low Connected,0.68,Low Connected,0.27,High,0,Low,94,2,7,0,FALSE,10,199
01M292,M,Lower East Side,Lower East Side,Orchard Collegiate Academy,General Academic,High school,Common Core Geometry,2018,62.2,9,50,9,50,3,16.7,2,Y,"F to East Broadway; J, M, Z to Delancey St-Essex St","B39, M14A, M14D, M15, M15-SBS, M21, M22, M9, X14, X37, X38",171,8:20pm,3:55pm,0.66,0.87,0.36,0.1,0.19,0.29,0.34,"$40,133.00 ",0.11,"68,838","31,824",0.48,Low Connected,0.68,Low Connected,0.27,High,0,Low,94,2,7,0,FALSE,10,199
01M292,M,Lower East Side,Lower East Side,Orchard Collegiate Academy,General Academic,High school,Global History and Geography,2018,68.4,17,29.3,41,70.7,10,17.2,2,Y,"F to East Broadway; J, M, Z to Delancey St-Essex St","B39, M14A, M14D, M15, M15-SBS, M21, M22, M9, X14, X37, X38",171,8:20pm,3:55pm,0.66,0.87,0.36,0.1,0.19,0.29,0.34,"$40,133.00 ",0.11,"68,838","31,824",0.48,Low Connected,0.68,Low Connected,0.27,High,0,Low,94,2,7,0,FALSE,10,199
01M292,M,Lower East Side,Lower East Side,Orchard Collegiate Academy,General Academic,High school,Living Environment,2018,68.2,33,39.3,51,60.7,16,19,2,Y,"F to East Broadway; J, M, Z to Delancey St-Essex St","B39, M14A, M14D, M15, M15-SBS, M21, M22, M9, X14, X37, X38",171,8:20pm,3:55pm,0.66,0.87,0.36,0.1,0.19,0.29,0.34,"$40,133.00 ",0.11,"68,838","31,824",0.48,Low Connected,0.68,Low Connected,0.27,High,0,Low,94,2,7,0,FALSE,10,199
01M292,M,Lower East Side,Lower East Side,Orchard Collegiate Academy,General Academic,High school,Physical Settings/Earth Science,2018,57.2,37,69.8,16,30.2,5,9.4,2,Y,"F to East Broadway; J, M, Z to Delancey St-Essex St","B39, M14A, M14D, M15, M15-SBS, M21, M22, M9, X14, X37, X38",171,8:20pm,3:55pm,0.66,0.87,0.36,0.1,0.19,0.29,0.34,"$40,133.00 ",0.11,"68,838","31,824",0.48,Low Connected,0.68,Low Connected,0.27,High,0,Low,94,2,7,0,FALSE,10,199
01M292,M,Lower East Side,Lower East Side,Orchard Collegiate Academy,General Academic,High school,Spanish,2018,86.8,0,0,13,100,11,84.6,2,Y,"F to East Broadway; J, M, Z to Delancey St-Essex St","B39, M14A, M14D, M15, M15-SBS, M21, M22, M9, X14, X37, X38",171,8:20pm,3:55pm,0.66,0.87,0.36,0.1,0.19,0.29,0.34,"$40,133.00 ",0.11,"68,838","31,824",0.48,Low Connected,0.68,Low Connected,0.27,High,0,Low,94,2,7,0,FALSE,10,199
01M292,M,Lower East Side,Lower East Side,Orchard Collegiate Academy,General Academic,High school,U.S. History and Government,2018,70.6,11,39.3,17,60.7,9,32.1,2,Y,"F to East Broadway; J, M, Z to Delancey St-Essex St","B39, M14A, M14D, M15, M15-SBS, M21, M22, M9, X14, X37, X38",171,8:20pm,3:55pm,0.66,0.87,0.36,0.1,0.19,0.29,0.34,"$40,133.00 ",0.11,"68,838","31,824",0.48,Low Connected,0.68,Low Connected,0.27,High,0,Low,94,2,7,0,FALSE,10,199
01M292,M,Lower East Side,Lower East Side,Orchard Collegiate Academy,General Academic,High school,Common Core Algebra,2019,68.9,32,28.8,79,71.2,14,12.6,2,Y,"F to East Broadway; J, M, Z to Delancey St-Essex St","B39, M14A, M14D, M15, M15-SBS, M21, M22, M9, X14, X37, X38",171,8:20pm,3:55pm,0.66,0.87,0.36,0.1,0.19,0.29,0.34,"$40,133.00 ",0.11,"68,838","31,824",0.48,Low Connected,0.68,Low Connected,0.27,High,0,Low,94,2,7,0,FALSE,10,199
01M292,M,Lower East Side,Lower East Side,Orchard Collegiate Academy,General Academic,High school,Common Core Algebra2,2019,72.8,2,16.7,10,83.3,2,16.7,2,Y,"F to East Broadway; J, M, Z to Delancey St-Essex St","B39, M14A, M14D, M15, M15-SBS, M21, M22, M9, X14, X37, X38",171,8:20pm,3:55pm,0.66,0.87,0.36,0.1,0.19,0.29,0.34,"$40,133.00 ",0.11,"68,838","31,824",0.48,Low Connected,0.68,Low Connected,0.27,High,0,Low,94,2,7,0,FALSE,10,199
