Neighborhood,Borough,FIPS,Unbanked 2011,Underbanked 2011,Unbanked 2013,Underbanked 2013,Prepaid 2011,Prepaid 2013,% Foreign born 2011,% Poor 2011,Median Income 2011,Unemployment 2011,% Poor 2013,% Foreign born 2013,Median income 2013,Unemployment 2013,Neighborhood Tabulation Area Code (NTA Code),Borough Name, Total Population , Total Number of Households ,Home Broadband Adoption (Percentage of Households),"Home Broadband Adoption by Quartiles (High Connected, Medium High Connected, Medium Low Connected, Low Connected)",Mobile Broadband Adoption (Percentage of Households),"Mobile broadband adoption by Quartiles (High Connected, Medium High Connected, Medium Low Connected, Low Connected)",No Broadband (Percentage of Households),"No Broadand by Quartiles (High, Medium High, Medium Low, Low)",Commercial Fiber Max ISP Choice by NTA,Percentage of Blocks without a Commercial Fiber Provider,Percentage of Blocks without a Commercial Fiber Provider by Quartiles,Residential Broadband ISP Choice Average by NTA,Residential Broadband ISP Choice Average by Quartiles,Total Poles,Reserved Poles,Density of Poles Reserved and with Equipment Installed for Mobile Telecom Franchise,Public Wi-Fi in NYC Count,Number of Free Public Wi-Fi Access Points in a Pedestrian Corridor,Available Free Public Wi-Fi in a Pedestrian Corridor (Y/N),Number of Public Computer Centers with free public Wi-Fi,Number of Public Computer Center Workstations,Number of Public Computer Center Open Lab Hours
Riverdale,Bronx,3701,0.14,0.22,0.11,0.26,0.10,0.12,0.31,0.15,"55,119",0.12,0.12,0.30,"60,614",0.12,BX22,Bronx," 28,157 "," 11,121 ",0.77,Medium High Connected,0.79,Medium Low Connected,0.12,Medium Low,3,0.09,Medium Low,1.83,Medium Low,29,2,16.48,2,0,FALSE,3,51,5.729166667
Kingsbridge,Bronx,3701,0.14,0.22,0.11,0.26,0.10,0.12,0.31,0.15,"55,119",0.12,0.12,0.30,"60,614",0.12,BX29,Bronx," 31,123 "," 13,544 ",0.75,Medium High Connected,0.79,Medium Low Connected,0.13,Medium Low,3,0.14,Medium High,1.86,Medium Low,36,5,43.37,1,1,TRUE,2,67,3.833333333
Williamsbridge,Bronx,3702,0.20,0.32,0.16,0.35,0.12,0.13,0.40,0.17,"43,236",0.16,0.19,0.39,"45,633",0.14,BX44,Bronx," 67,724 "," 22,792 ",0.59,Low Connected,0.77,Low Connected,0.20,High,3,0.00,Low,1.97,Medium High,66,24,50.77,3,0,FALSE,3,59,4.875
Baychester,Bronx,3702,0.20,0.32,0.16,0.35,0.12,0.13,0.40,0.17,"43,236",0.16,0.19,0.39,"45,633",0.14,BX03,Bronx," 38,367 "," 12,133 ",0.63,Medium Low Connected,0.78,Medium Low Connected,0.18,Medium High,3,0.07,Medium Low,1.95,Medium High,53,12,36.81,9,1,TRUE,2,38,3.75
Throgs Neck,Bronx,3703,0.11,0.25,0.10,0.27,0.10,0.13,0.18,0.10,"53,436",0.12,0.08,0.22,"56,059",0.09,BX52,Bronx," 45,634 "," 16,692 ",0.68,Medium Low Connected,0.76,Low Connected,0.15,Medium High,4,0.14,Medium High,1.81,Medium Low,88,21,27.76,10,3,TRUE,4,96,7.083333333
Co-op City,Bronx,3703,0.11,0.25,0.10,0.27,0.10,0.13,0.18,0.10,"53,436",0.12,0.08,0.22,"56,059",0.09,BX13,Bronx," 46,725 "," 19,821 ",0.66,Medium Low Connected,0.72,Low Connected,0.20,High,3,0.37,High,1.50,Low,30,4,20.98,1,1,TRUE,3,92,5.416666667
Pelham Parkway,Bronx,3704,0.21,0.24,0.15,0.28,0.11,0.12,0.34,0.19,"40,745",0.15,0.17,0.34,"43,075",0.13,BX49,Bronx," 28,608 "," 11,270 ",0.59,Low Connected,0.78,Medium Low Connected,0.16,Medium High,3,0.11,Medium High,1.86,Medium Low,46,12,55.42,1,1,TRUE,2,48,3.75
Morrisania,Bronx,3705,0.42,0.25,0.28,0.31,0.13,0.16,0.31,0.41,"22,370",0.21,0.39,0.32,"24,259",0.18,BX35,Bronx," 41,100 "," 14,838 ",0.61,Low Connected,0.78,Medium Low Connected,0.22,High,4,0.06,Medium Low,1.85,Medium Low,41,5,67.21,6,4,TRUE,5,104,6.083333333
East Tremont,Bronx,3705,0.42,0.25,0.28,0.31,0.13,0.16,0.31,0.41,"22,370",0.21,0.39,0.32,"24,259",0.18,BX17,Bronx," 44,166 "," 15,502 ",0.54,Low Connected,0.77,Medium Low Connected,0.30,High,3,0.11,Medium High,1.86,Medium Low,63,11,91.30,10,3,TRUE,4,94,5.520833333
Kingsbridge Heights,Bronx,3706,0.32,0.26,0.24,0.31,0.12,0.13,0.40,0.33,"30,646",0.17,0.34,0.43,"29,069",0.18,BX30,Bronx," 33,742 "," 11,139 ",0.61,Low Connected,0.78,Medium Low Connected,0.17,Medium High,3,0.14,Medium High,1.77,Low,40,9,85.11,11,10,TRUE,0,0,12/31/1899 12:00:00 AM
